Property Name	Data Type	Data Default Value	Param0 Type	Param0 Default Value	Param1 Type	Param1 Default Value	Param2 Type	Param2 Default Value	Param3 Type	Param3 Default Value
DamagePctResistVsRankProp	Real	0f	Mods/Ranks/Rank.blueprint	Mods/Ranks/Rank.defaults	-	-	-	-	-	-
DamagePctVulnerabilityProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamagePctVulnerabilityVsPowerProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DamagePctVulnerabilityVsPowerKwdProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamagePctVulnerabilityPvPProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctWeakenProp	Real	0f	-	-	-	-	-	-	-	-
DamagePctWeakenForPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamagePctWeakenVsKeywordProp	Real	0f	Types/Keyword.blueprint	Types/Keyword.defaults	-	-	-	-	-	-
DamageRatingProp	Real	0f	-	-	-	-	-	-	-	-
DamageRatingBonusByTypeProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DamageRatingBonusHardcoreProp	Real	0f	-	-	-	-	-	-	-	-
DamageRatingBonusMvmtSpeedProp	Real	0f	-	-	-	-	-	-	-	-
DamageRatingBonusWithinDistProp	Real	0f	Integer	0	-	-	-	-	-	-
DamageRatingBonusForPowerProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DamageRatingBonusForPowerVsTargetProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DamageRatingBonusForPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamageRatingBonusForPowerKeywordVsTargetProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DamageRatingBonusPerPvPKillProp	Real	0f	-	-	-	-	-	-	-	-
DamageRatingBonusVsAggroedProp	Real	0f	-	-	-	-	-	-	-	-
DamageRatingBonusVsBossesProp	Real	0f	-	-	-	-	-	-	-	-
DamageRatingBonusVsConditionKeywordProp	Real	0f	Types/Keyword.blueprint	Types/Keyword.defaults	-	-	-	-	-	-
DamageRatingBonusVsRankProp	Real	0f	Mods/Ranks/Rank.blueprint	Mods/Ranks/Rank.defaults	-	-	-	-	-	-
DamageRatingBonusVsUnawareProp	Real	0f	-	-	-	-	-	-	-	-
DamageReductionPctFromGearProp	Real	0f	-	-	-	-	-	-	-	-
DamageRegionMobToPlayerProp	Real	1f	-	-	-	-	-	-	-	-
DamageRegionPlayerToMobProp	Real	1f	-	-	-	-	-	-	-	-
DamageShieldNumHitLimitProp	Integer	-1	Property/DamageType.type	Any	-	-	-	-	-	-
DamageShieldPercentProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DamageShieldRegensFromDamageProp	Boolean	False	Property/DamageType.type	Any	-	-	-	-	-	-
DamageShieldRemoveWhenExpiredProp	Boolean	True	-	-	-	-	-	-	-	-
DamageShieldScaleByStatProp	Real	0f	Property/PropertyInfo.blueprint	Property/PropertyInfo.defaults	-	-	-	-	-	-
DamageSplitBetweenTargetsProp	Boolean	False	-	-	-	-	-	-	-	-
DamageTransferChanceProp	Real	0f	-	-	-	-	-	-	-	-
DamageTransferIDProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
DamageTransferMaxProp	Real	0f	-	-	-	-	-	-	-	-
DamageTransferPctProp	Real	0f	-	-	-	-	-	-	-	-
DamageVarianceProp	Real	0f	-	-	-	-	-	-	-	-
DangerRoomScenarioItemDbGuidProp	Guid	0 (Guid)	-	-	-	-	-	-	-	-
DeathLimitOverrideProp	Integer	-1	-	-	-	-	-	-	-	-
DEBUGFakePartyMemberProp	Boolean	False	-	-	-	-	-	-	-	-
DefenseProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DefenseChangePercentProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DefensePenetrationProp	Real	0f	Property/DamageType.type	Physical	-	-	-	-	-	-
DefensePenetrationKwdProp	Real	0f	Property/DamageType.type	Any	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-
DefensePenetrationPctProp	Real	0f	Property/DamageType.type	Any	-	-	-	-	-	-
DefensePenetrationPctKwdProp	Real	0f	Property/DamageType.type	Any	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-
DestinationAreaProp	Prototype		-	-	-	-	-	-	-	-
DestinationCellProp	Asset		-	-	-	-	-	-	-	-
DestinationEntityProp	Prototype		-	-	-	-	-	-	-	-
DestinationRegionProp	Prototype		-	-	-	-	-	-	-	-
DetachOnContainerDestroyedProp	Boolean	False	-	-	-	-	-	-	-	-
DifficultyIndexProp	Integer	0	-	-	-	-	-	-	-	-
DifficultyTierProp	Prototype		-	-	-	-	-	-	-	-
DisableClientConditionFXProp	Boolean	False	-	-	-	-	-	-	-	-
DisableEnduranceGainProp	Boolean	False	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
DisableEnduranceRegenProp	Boolean	False	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
DisableEnduranceUsageProp	Boolean	False	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
DisableHealthGainProp	Boolean	False	-	-	-	-	-	-	-	-
DisablePowerEffectsProp	Boolean	False	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
DisableSecondaryResourceGainProp	Boolean	False	-	-	-	-	-	-	-	-
DisplayNameOverrideProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
DodgeChancePctProp	Real	0f	-	-	-	-	-	-	-	-
DodgeChancePctVsPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
DodgeRatingBonusAddProp	Real	0f	-	-	-	-	-	-	-	-
DodgeRatingBonusMultProp	Real	0f	-	-	-	-	-	-	-	-
DontTriggerOtherProcsProp	Boolean	False	Powers/Types/ProcTriggerType.type	None	-	-	-	-	-	-
DontTriggerOtherPowerEventsProp	Boolean	False	Powers/Types/PowerEventType.type	OnTargetKill	-	-	-	-	-	-
DormantProp	Boolean	False	-	-	-	-	-	-	-	-
DramaticEntrancePlayedOnceProp	Boolean	False	-	-	-	-	-	-	-	-
DroppedByPlayerIdProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
EnabledProp	Boolean	True	-	-	-	-	-	-	-	-
EncounterResourceProp	Prototype		-	-	-	-	-	-	-	-
EndlessLevelProp	Integer	0	-	-	-	-	-	-	-	-
EndlessLevelDeathCountProp	Integer	0	-	-	-	-	-	-	-	-
EndlessLevelStartTimeProp	Time	0 (Time)	-	-	-	-	-	-	-	-
EndlessLevelsTotalProp	Integer	0	-	-	-	-	-	-	-	-
EnduranceProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceAddBonusProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceBaseProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceChangeProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceChangeBaseProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceChangePctProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCostProp	Curve	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceCostAllRemainingProp	Boolean	False	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCostChangePctProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCostChangePctKeywrdProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-
EnduranceCostChangePctTabProp	Real	0f	Entity/Items/Affixes/PowerModifierAffixes/PowerProgressionTableTabRefs/PowerProgTableTabRef.blueprint	Entity/Items/Affixes/PowerModifierAffixes/PowerProgressionTableTabRefs/PowerProgTableTabRef.defaults	Entity/Characters/Avatars/Avatar.blueprint	Entity/Characters/Avatars/Avatar.defaults	-	-	-	-
EnduranceCostChangePctOverrideProp	Real	-1f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCostRequiredProp	Boolean	True	-	-	-	-	-	-	-	-
EnduranceCOTBaseProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCOTMagnitudeProp	Real	1f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCOTPctBaseProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceCOTVarianceProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	TypeAll	-	-	-	-	-	-
EnduranceMaxProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceMaxOtherProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceOverTimePerSecProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnduranceOverTimePerSecPctProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EndurancePctBonusProp	Real	0f	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
EnemyBoostProp	Boolean	False	Mods/MobAffixes/EnemyBoost.blueprint	Mods/MobAffixes/EnemyBoost.defaults	-	-	-	-	-	-
EnrageStartTimeProp	Time	-1 (Time)	-	-	-	-	-	-	-	-
EntityStateProp	Prototype		-	-	-	-	-	-	-	-
EntSelActTypesSupportedProp	Integer	0	-	-	-	-	-	-	-	-
EntSelActReactTimeMSProp	Integer	-1	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActLifespanEndPowerProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActLifespanMSProp	Integer	0	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActOverheadTextProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActOverheadTextDelayProp	Integer	0	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAttributeActionProp	Integer	0	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActPowerProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActPowerCancelProp	Boolean	False	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActSelectorPowersCanclProp	Boolean	False	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAIOverrideProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAIOverrideCancelProp	Boolean	False	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAIAggDistOvrdAllyProp	Integer	0	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAIAggDistOvrdEnemyProp	Integer	0	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAIProximityDistProp	Integer	0	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActRewardLootTableProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActSpawnTriggerProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActAllianceOverrideProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActEventBroadcastProp	Prototype		Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntitySelectorAction.blueprint	Populations/Blueprints/EntitySelector/EntitySelectorAction.defaults	Integer	0	-	-
EntSelActHasInteractOptionProp	Boolean	False	-	-	-	-	-	-	-	-
EntSelActInteractOptDisabledProp	Boolean	False	-	-	-	-	-	-	-	-
EntSelActScriptTriggerProp	Boolean	False	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntityActionTimelineScript.blueprint	Populations/Blueprints/EntitySelector/EntityActionTimelineScript.defaults	-	-	-	-
EntSelActScriptCancelProp	Boolean	False	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntityActionTimelineScript.blueprint	Populations/Blueprints/EntitySelector/EntityActionTimelineScript.defaults	-	-	-	-
EntSelActScriptInterruptProp	Boolean	False	Entity/Types/EntitySelectorActionEventType.type	None	Populations/Blueprints/EntitySelector/EntityActionTimelineScript.blueprint	Populations/Blueprints/EntitySelector/EntityActionTimelineScript.defaults	-	-	-	-
EvalLoopVarProtoRefProp	Prototype		Integer	0	-	-	-	-	-	-
EvalRegisterFloatProp	Real	0f	Integer	0	-	-	-	-	-	-
EvalRegisterIntProp	Integer	0	Integer	0	-	-	-	-	-	-
ExperienceAwardMinimumPctProp	Real	0f	-	-	-	-	-	-	-	-
ExperiencePointsProp	Integer	0	-	-	-	-	-	-	-	-
ExperiencePointsNeededProp	Integer	0	-	-	-	-	-	-	-	-
ExperienceBonusAvatarSynergyProp	Real	0f	-	-	-	-	-	-	-	-
ExperienceBonusPctProp	Real	0f	-	-	-	-	-	-	-	-
ExperienceBonusPerKillProp	Integer	0	-	-	-	-	-	-	-	-
ExperienceBonusPerKillMaxPctProp	Real	0f	-	-	-	-	-	-	-	-
ExperienceBonusStackCountProp	Integer	0	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
ExperienceBonusStackingMultProp	Real	0f	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
ExperimentCohortAssignmentProp	Prototype		Metrics/Experiments/CohortExperiment.blueprint	Metrics/Experiments/CohortExperiment.defaults	-	-	-	-	-	-
FactionProp	Prototype		-	-	-	-	-	-	-	-
FactionDBProp	Prototype		-	-	-	-	-	-	-	-
FearedProp	Boolean	False	AI/ProceduralAI/Blueprints/Profiles/Overrides/PowerOverrides/ProceduralProfileFearOverride.blueprint	AI/ProceduralAI/Blueprints/Profiles/Overrides/PowerOverrides/ProceduralProfileFearOverride.defaults	-	-	-	-	-	-
FocusTargetedOnByIDProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
ForceEnduranceRegenProp	Boolean	False	Entity/Characters/Avatars/ManaBehaviors/ManaType.type	Type1	-	-	-	-	-	-
FullScreenMoviePlayingProp	Boolean	False	-	-	-	-	-	-	-	-
FullScreenMovieQueuedProp	Boolean	False	FullscreenMovies/Movie.blueprint	FullscreenMovies/Movie.defaults	-	-	-	-	-	-
FullScreenMovieSessionProp	Integer	0	-	-	-	-	-	-	-	-
GlobalEventContributionScoreProp	Integer	0	Events/GlobalEvents/Blueprints/GlobalEvent.blueprint	Events/GlobalEvents/Blueprints/GlobalEvent.defaults	-	-	-	-	-	-
GracePeriodProp	Boolean	False	-	-	-	-	-	-	-	-
GuildsUnlockedProp	Boolean	False	-	-	-	-	-	-	-	-
HasPowerKeywordProp	Boolean	False	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
HasResurrectPendingProp	Boolean	False	-	-	-	-	-	-	-	-
HasSeenOpeningCinematicProp	Boolean	False	-	-	-	-	-	-	-	-
HasPlayedGameModeProp	Boolean	False	Metagame/Blueprints/GameMode.blueprint	Metagame/Blueprints/GameMode.defaults	-	-	-	-	-	-
HasUsedFreeUnlockDEPRECATEDProp	Boolean	False	-	-	-	-	-	-	-	-
HealerNPCProp	Boolean	False	-	-	-	-	-	-	-	-
HealingProp	Real	0f	-	-	-	-	-	-	-	-
HealingBaseProp	Real	0f	-	-	-	-	-	-	-	-
HealingBaseCurveProp	Curve	0f	-	-	-	-	-	-	-	-
HealingBasePctProp	Curve	0f	-	-	-	-	-	-	-	-
HealingBlockedProp	Boolean	False	-	-	-	-	-	-	-	-
HealingMagnitudeProp	Real	1f	-	-	-	-	-	-	-	-
HealingOverTimeBaseProp	Real	0f	-	-	-	-	-	-	-	-
HealingOverTimeBasePctProp	Real	0f	-	-	-	-	-	-	-	-
HealingOverTimePerSecondProp	Real	0f	-	-	-	-	-	-	-	-
HealingOverTimePerSecondPctProp	Real	0f	-	-	-	-	-	-	-	-
HealingOverTimeMagnitudeProp	Real	1f	-	-	-	-	-	-	-	-
HealingOverTimeVarianceProp	Real	0f	-	-	-	-	-	-	-	-
HealingReceivedMultProp	Real	0f	-	-	-	-	-	-	-	-
HealingReceivedMultPowerKeywordProp	Real	0f	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
HealingVarianceProp	Real	0f	-	-	-	-	-	-	-	-
HealthProp	Integer	0	-	-	-	-	-	-	-	-
HealthAddBonusProp	Integer	0	-	-	-	-	-	-	-	-
HealthBaseProp	Curve	0f	-	-	-	-	-	-	-	-
PowerHealthCostOverTimeProp	Real	0f	-	-	-	-	-	-	-	-
HealthMaxProp	Integer	0	-	-	-	-	-	-	-	-
HealthMaxMagnitudeProp	Real	1f	-	-	-	-	-	-	-	-
HealthMaxMagnitudeDCLProp	Real	1f	-	-	-	-	-	-	-	-
HealthMaxMultProp	Real	1f	-	-	-	-	-	-	-	-
HealthMaxOtherProp	Integer	0	-	-	-	-	-	-	-	-
HealthMinProp	Integer	0	-	-	-	-	-	-	-	-
HealthPctBonusProp	Real	0f	-	-	-	-	-	-	-	-
HighlightPowerWithKeywordProp	Boolean	False	Powers/Blueprints/PowerKeyword.blueprint	Powers/Blueprints/PowerKeyword.defaults	-	-	-	-	-	-
HitReactProp	Boolean	False	-	-	-	-	-	-	-	-
HotspotTriggerEntityProp	EntityId	0 (EntityId)	Integer	0	-	-	-	-	-	-
IgnoreClientsideVisibilityProp	Boolean	False	-	-	-	-	-	-	-	-
IgnoreMissionOwnerForTargetingProp	Boolean	False	-	-	-	-	-	-	-	-
IgnoreNegativeStatusResistProp	Boolean	False	-	-	-	-	-	-	-	-
ImmobilizedProp	Boolean	False	Integer	0	-	-	-	-	-	-
ImmobilizedByHitReactProp	Boolean	False	-	-	-	-	-	-	-	-
ImmuneToConditionWithKwdProp	Boolean	False	Types/Keyword.blueprint	Types/Keyword.defaults	-	-	-	-	-	-
ImmuneToPowerProp	Boolean	False	Powers/Blueprints/Power.blueprint	Powers/Blueprints/Power.defaults	-	-	-	-	-	-
IntangibleProp	Boolean	False	-	-	-	-	-	-	-	-
OmegaRankProp	Integer	0	Mods/Blueprints/OmegaBonus.blueprint	Mods/Blueprints/OmegaBonus.defaults	-	-	-	-	-	-
OmegaRankTempProp	Integer	-1	Mods/Blueprints/OmegaBonus.blueprint	Mods/Blueprints/OmegaBonus.defaults	-	-	-	-	-	-
OmegaSpecProp	Integer	0	Integer	0	Mods/Blueprints/OmegaBonus.blueprint	Mods/Blueprints/OmegaBonus.defaults	-	-	-	-
OmegaSpecTempProp	Integer	-1	Integer	0	Mods/Blueprints/OmegaBonus.blueprint	Mods/Blueprints/OmegaBonus.defaults	-	-	-	-
OmegaXPProp	Integer	0	-	-	-	-	-	-	-	-
OmegaPointsProp	Integer	0	-	-	-	-	-	-	-	-
OmegaPointsSpentProp	Integer	0	-	-	-	-	-	-	-	-
OmegaRespecResultProp	Integer	-1	Integer	0	Mods/Blueprints/OmegaBonusSet.blueprint	Mods/Blueprints/OmegaBonusSet.defaults	-	-	-	-
InformsHitInfoToAllyProp	Boolean	False	-	-	-	-	-	-	-	-
InformsHitInfoToAllyIdProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
InitialCharacterLevelProp	Integer	0	-	-	-	-	-	-	-	-
InstantKillProp	Boolean	False	-	-	-	-	-	-	-	-
InteractableProp	Integer	-1	-	-	-	-	-	-	-	-
InteractableDestroyDelayMSProp	Integer	0	-	-	-	-	-	-	-	-
InteractableSpawnLootDelayMSProp	Integer	0	-	-	-	-	-	-	-	-
InteractableUsesLeftProp	Integer	-1	-	-	-	-	-	-	-	-
InteractHasDialogProp	Boolean	False	-	-	-	-	-	-	-	-
InteractReadyForTargetIdProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
InteractTargetIdProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
InvalidBounceTargetProp	Boolean	False	-	-	-	-	-	-	-	-
InventoryAddTimeProp	Time	0 (Time)	-	-	-	-	-	-	-	-
InventoryStackCountProp	Integer	1	-	-	-	-	-	-	-	-
InventoryStackSizeMaxProp	Integer	1	-	-	-	-	-	-	-	-
InvulnerableProp	Boolean	False	-	-	-	-	-	-	-	-
InvulnExceptWithPowerKwdProp	Prototype		-	-	-	-	-	-	-	-
IsDeadProp	Boolean	False	-	-	-	-	-	-	-	-
IsInCombatProp	Boolean	False	-	-	-	-	-	-	-	-
IsResurrectionPowerProp	Boolean	False	-	-	-	-	-	-	-	-
IsTeamUpAwaySourceProp	Boolean	False	-	-	-	-	-	-	-	-
IsTransientPowerUserProp	Boolean	False	-	-	-	-	-	-	-	-
ItemAffixLevelProp	Integer	0	-	-	-	-	-	-	-	-
ItemAllowPickupWhenInventoryFullProp	Boolean	False	-	-	-	-	-	-	-	-
ItemAutoUseOnPurchaseProp	Boolean	False	-	-	-	-	-	-	-	-
ItemBindsToAccountOnPickupProp	Boolean	False	-	-	-	-	-	-	-	-
ItemBindsToCharacterOnEquipProp	Boolean	False	-	-	-	-	-	-	-	-
ItemBoundAvatarProp	Prototype		-	-	-	-	-	-	-	-
ItemCurrencyProp	Integer	0	Entity/Items/CurrencyItems/CurrencyPrototypes/Currency.blueprint	Entity/Items/CurrencyItems/CurrencyPrototypes/Currency.defaults	-	-	-	-	-	-
ItemEquipEngineEffectProp	Boolean	False	Entity/Items/Affixes/ItemEffectUnrealClass.type	MarvelGameContent.MarvelItemEffect_ItemEnhancement_GroundBased_Runes_Red	-	-	-	-	-	-
ItemFulfillmentEntryProp	Boolean	False	Entity/Components/Fulfillable.blueprint	Entity/Components/Fulfillable.defaults	-	-	-	-	-	-
ItemEventActionIndexProp	Integer	0	-	-	-	-	-	-	-	-
ItemIsBoundToAccountProp	Boolean	False	-	-	-	-	-	-	-	-
ItemIsTradableProp	Boolean	True	-	-	-	-	-	-	-	-
ItemLevelProp	Integer	1	-	-	-	-	-	-	-	-
ItemLimitedEditionProp	Integer	0	-	-	-	-	-	-	-	-
ItemRarityProp	Prototype		-	-	-	-	-	-	-	-
ItemRecentlyAddedGlintProp	Boolean	False	-	-	-	-	-	-	-	-
ItemRecentlyAddedToInventoryProp	Boolean	False	-	-	-	-	-	-	-	-
ItemRegisterFloatProp	Real	0f	Integer	0	-	-	-	-	-	-
ItemVariationProp	Real	1f	-	-	-	-	-	-	-	-
ItemSoldPriceProp	Integer	0	-	-	-	-	-	-	-	-
KnockbackProp	Boolean	False	-	-	-	-	-	-	-	-
KnockbackDistanceProp	Curve	0f	-	-	-	-	-	-	-	-
KnockbackTimeResultProp	Real	0f	-	-	-	-	-	-	-	-
KnockbackSpeedResultProp	Real	0f	-	-	-	-	-	-	-	-
KnockbackAccelerationResultProp	Real	0f	-	-	-	-	-	-	-	-
KnockbackMovementTypeProp	Integer	0	-	-	-	-	-	-	-	-
KnockbackResistProp	Real	0f	-	-	-	-	-	-	-	-
KnockbackReverseTargetOriProp	Boolean	False	-	-	-	-	-	-	-	-
KnockbackSourceUseUltimateOwnerProp	Boolean	False	-	-	-	-	-	-	-	-
KnockbackToSourceProp	Boolean	False	-	-	-	-	-	-	-	-
KnockdownProp	Boolean	False	-	-	-	-	-	-	-	-
KnockupProp	Boolean	False	-	-	-	-	-	-	-	-
LastActiveMissionChapterProp	Prototype	Ch00TheRaft.prototype	-	-	-	-	-	-	-	-
LastDailyAdvMishCalendarDayProp	Integer	0	-	-	-	-	-	-	-	-
LastDailyMissionCalendarDayProp	Integer	0	-	-	-	-	-	-	-	-
LastInflictedDamageTimeProp	Time	0 (Time)	-	-	-	-	-	-	-	-
LastHostileTargetIDProp	EntityId	0 (EntityId)	-	-	-	-	-	-	-	-
LastTownRegionProp	Prototype		-	-	-	-	-	-	-	-
LastTownRegionForAccountProp	Prototype		-	-	-	-	-	-	-	-
LegendaryMarksAmountProp	Integer	0	-	-	-	-	-	-	-	-
LegendaryMissionObjsCompProp	Integer	0	Missions/Blueprints/Mission.blueprint	Missions/Blueprints/Mission.defaults	Integer	0	-	-	-	-
